CustomerID,Age,Gender,MaritalStatus,EducationLevel,Salary,ExperienceYears,PurchaseAmount,CustomerReview,SignupDate,IsChurn
1,56,Male,Married,PhD,99169.86,5,4755.51,Turn natural begin full choose.,6/15/2023,1
2,69,Male,Married,PhD,33924.34,12,2888.52,Hold describe despite. Part end reflect north analysis often take. Eye student their decide itself.,8/26/2024,1
3,46,Male,Divorced,High School,119509.55,,3177.59,Own whether fight give door. Down along test network happen religious. Else reveal memory finally.,2/20/2023,0
4,32,Male,Married,Bachelor's,72295.01,26,2269.81,Lead course cut after system computer only. Area nothing current box. This film image give effect.,11/10/2024,0
5,,Male,Divorced,High School,55160.43,26,1501.39,Sign win respond whether follow. Catch describe bag today.,4/7/2022,0
6,25,Female,Single,PhD,109514.46,21,,Do whatever box eight. Seat baby last attorney lay door want.,4/24/2022,1
7,38,Male,Divorced,Bachelor's,97294.69,39,3378.97,Author method from early sort speech service. Old indeed key blood analysis fill wife cut.,12/25/2023,1
8,56,Female,Married,PhD,115776.47,36,3774.25,Maybe if baby last let. Company traditional treat article risk explain.,1/11/2022,0
9,36,Female,Single,High School,59767.53,33,3968.32,Include should back during security. Stock age artist.,7/2/2021,0
10,40,Female,Single,High School,79748.85,30,3958.61,Direction road production. Seven against old strong myself each hair.,9/5/2022,0
11,28,,Single,PhD,81506.32,37,501.47,Go daughter suggest purpose father worker. Issue few end tough page individual.,8/5/2020,1
12,28,Male,Divorced,Master's,118229.84,23,2497.38,One message news up. Explain country professional moment cover television over project.,8/10/2020,1
13,41,Male,Married,Master's,36781.16,10,334.92,Civil ten service able receive begin senior. Few region black police in.,,1
14,53,Male,Single,High School,57512.73,5,2770.17,Dream lay eight. Past tend increase free.,6/2/2024,0
15,57,Female,Single,High School,47181.99,36,2235.58,Feel police but scene beat describe he. Food relate truth office rich instead himself.,4/28/2020,0
16,41,Male,,Master's,54162.74,34,4444.14,Imagine read next well. Poor audience everybody go career clear middle.,9/29/2020,0
17,20,Male,Divorced,Master's,73675.19,31,1787.03,Fish else throw performance little trade.,3/5/2024,0
18,39,Male,Divorced,PhD,63541.82,10,629.48,"Beat thing try activity. At continue despite economy check.
Course myself happen sell.",6/2/2024,1
19,19,Male,Married,PhD,,19,757.81,Success window single toward religious look race. Skill program bring life.,11/5/2020,1
20,41,Male,Divorced,Master's,105979.18,32,3819.48,Leave join soon three region Congress against wear. Rich read after them feeling stop.,5/13/2024,1
21,61,Female,Single,PhD,113701.52,1,3110.18,Each tell upon ten building. Interview simply close.,5/11/2024,1
22,47,Male,Married,PhD,36337.45,5,550.56,Travel together support reason science. Relate attack even test perform.,4/23/2024,0
23,55,Female,Single,,48802.68,4,466.33,Admit serious per our author street success play. Better may travel because onto whatever his baby.,1/13/2020,1
24,19,Male,Single,PhD,90402.92,16,3519.8,There wait effect expert team. These action step whether. South serious body stuff.,4/4/2024,1
25,38,Female,Divorced,High School,62278.21,24,410.18,Light agency movie state policy enter. Off actually effort. Growth scene billion others fast.,9/10/2023,1
26,50,Male,Married,PhD,52874.73,16,4118.21,Onto general store. Tv professional total teacher range night later.,5/3/2023,0
27,29,Male,Divorced,PhD,56576.15,2,3545.9,Draw tonight push training TV. Mean site general officer though.,3/22/2022,0
28,39,Female,Divorced,Master's,59029.57,28,452.68,Must we who discover region. Read professional owner usually draw camera ten.,3/4/2021,0
29,61,Female,Married,High School,106380.28,32,,Where describe admit. Onto interest his let beyond.,8/1/2021,1
30,42,Female,Single,PhD,42295.92,27,4933.87,Reality try plant discussion. Front notice success under condition value.,10/5/2023,0
31,66,Male,Single,PhD,93801.99,20,1902.64,Figure technology medical space far argue. Might middle investment writer right.,7/15/2024,0
32,44,Female,Married,Bachelor's,79753.8,24,1884.68,Stuff participant enjoy. Do station open do politics room art.,10/8/2024,0
33,59,Male,Single,PhD,56685.91,12,4073.36,Role friend same important check.,1/27/2022,0
34,45,Male,Married,PhD,67780.28,35,4738.88,Prevent kid paper about early road.,4/6/2023,0
35,33,Female,Married,Bachelor's,53058.62,33,4930.71,Condition seem food. Particular design section company.,5/26/2023,0
36,32,Female,Divorced,Master's,85036.23,33,3779.22,Drug boy trial marriage. Behind at role money walk event voice. Rock leader free new week.,3/14/2023,0
37,64,Male,Married,PhD,37343.48,37,1912.48,Then age as successful you attention. Center me stage dream.,12/2/2021,0
38,68,Male,Divorced,Bachelor's,30466.64,12,463.33,Community throw be size suddenly nothing. Mind huge short green health before.,6/2/2022,1
39,61,Female,Single,High School,86510.5,3,3896.88,Model beautiful recently save something because work. Window next end word.,7/2/2024,0
40,69,Female,Single,Master's,47484.66,1,2814.1,Physical race thank financial chair exactly clear security. Middle between inside.,10/4/2023,1
41,20,Female,Single,High School,36384.68,,2149.9,Network property model political eat. Economy then try. We paper listen doctor white eat.,8/15/2020,0
42,54,Male,Single,High School,65710.54,10,4536.45,Interest always price.,11/1/2021,0
43,68,Male,Divorced,Bachelor's,34569.17,29,600.43,Ask child value develop.,2/18/2024,1
44,24,Male,Single,PhD,109795.54,13,2488.49,Eat air reach child. Fish relationship behind kind follow country team.,11/27/2022,0
45,38,Male,Married,Bachelor's,32485.51,12,106.2,Member product leave. Recent season tax.,,0
46,26,Male,Married,Bachelor's,82097.84,31,2369.87,Scene down address never action. Have compare positive break station leg.,9/7/2021,0
47,56,Male,Married,Bachelor's,69462.67,2,328.7,Audience huge able sometimes true unit.,6/21/2023,1
