CustomerID,Age,AnnualIncome,SpendingScore,CreditScore,Occupation,Region,HomeOwnershipStatus,Feedback,TransactionDate,
1,59,129789.4,38,529,Doctor,North,Rented,Could start financial commercial last leader economic.,12/25/2023,0
2,72,117151.61,24,664,Teacher,West,Owned,Commercial quite scene want century however college necessary wear.,5/26/2024,0
3,49,90159.98,69,737,Unemployed,North,Mortgaged,Forget career what fall easy suggest financial room.,2/23/2023,0
4,35,96277.65,98,582,Engineer,Central,Owned,House assume finally human floor school organization season something defense response.,8/17/2024,0
5,63,145483.19,70,326,Unemployed,East,Mortgaged,Call east wonder their great same student common next staff ability lose civil.,8/4/2023,1
6,28,98914.45,86,525,Clerk,East,Mortgaged,Alone against way nor nice with message until.,5/16/2024,0
7,41,55879.89,11,576,Unemployed,North,Owned,Activity range without others strong the yeah company also new last keep fight.,6/25/2022,0
8,,58515.56,16,583,Engineer,West,Rented,Development employee personal class common season help store measure happen.,8/23/2024,0
9,78,41484.7,97,780,,West,Mortgaged,Grow situation black customer PM series company example increase.,7/7/2024,0
10,39,22032.73,73,752,Unemployed,Central,Owned,People fish color black religious my Congress coach leader debate.,4/13/2023,0
11,43,75042.19,,815,Clerk,North,Owned,Them benefit current someone kid eye once.,12/9/2022,0
12,31,71334.6,70,846,Doctor,East,Rented,Challenge wife type recognize TV project than throughout program foreign.,10/28/2023,1
13,31,58153.46,80,491,Doctor,West,,Service operation history inside best toward buy there modern add through.,6/20/2024,0
14,44,21830.38,93,348,Unemployed,North,Mortgaged,Heavy suddenly quickly discussion senior size someone rule prove project avoid.,9/26/2023,1
15,73,45849.51,3,811,Clerk,West,Owned,Reduce available specific turn green deal traditional common able idea.,9/20/2024,1
16,56,,20,316,Engineer,West,Owned,Fund fire the determine agreement expect guy about radio reflect cold occur group.,4/30/2023,0
17,60,122722.82,59,471,Unemployed,East,Rented,Issue hand from allow establish floor field commercial politics authority court.,8/25/2023,0
18,44,98774.8,36,519,Doctor,,Rented,Economy cut herself center city two stuff huge full law message.,3/22/2023,0
19,23,140419.11,19,457,Doctor,Central,Mortgaged,Under information indeed way close thank.,3/14/2024,0
